,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.neighborhood,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.delivery.id,venue.delivery.url,venue.delivery.provider.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.icon.name,venue.venuePage.id
10,e-0-56e7f585498ed6598b4030cd-10,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",56e7f585498ed6598b4030cd,Birch Coffee,8 Spruce Street (Entrance on Beekman),40.71075943494384,-74.00595340051164,"[{'label': 'display', 'lat': 40.71075943494384, 'lng': -74.00595340051164}]",219,10038,US,,New York,NY,United States,"['8 Spruce Street (Entrance on Beekman) (Beekman Street)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],Beekman Street,,,,,,,
11,e-0-528bf16711d2b7722da6b51c-11,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",528bf16711d2b7722da6b51c,Pisillo Italian Panini,97 Nassau St,40.710530084460785,-74.00752571804911,"[{'label': 'display', 'lat': 40.710530084460785, 'lng': -74.00752571804911}]",275,10038,US,,New York,NY,United States,"['97 Nassau St (at Ann St)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d1c5941735', 'name': 'Sandwich Place', 'pluralName': 'Sandwich Places', 'shortName': 'Sandwiches', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",0,[],at Ann St,286355,https://www.seamless.com/menu/pisillo-97-nassau-st-new-york/286355?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=286355,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,105457747
12,e-0-57c640ad498e74977f98372f-12,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",57c640ad498e74977f98372f,Four Seasons Hotel New York Downtown,27 Barclay St,40.71261246501983,-74.00938032087628,"[{'label': 'display', 'lat': 40.71261246501983, 'lng': -74.00938032087628}]",284,10007,US,,New York,NY,United States,"['27 Barclay St (Broadway)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d1fa931735', 'name': 'Hotel', 'pluralName': 'Hotels', 'shortName': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}, 'primary': True}]",0,[],Broadway,,,,,,,
13,e-0-5d5f24ec09484500079aee00-13,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5d5f24ec09484500079aee00,Los Tacos No. 1,136 Church St,40.714267,-74.008756,"[{'label': 'display', 'lat': 40.714267, 'lng': -74.008756}]",287,10007,US,,New York,NY,United States,"['136 Church St', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d151941735', 'name': 'Taco Place', 'pluralName': 'Taco Places', 'shortName': 'Tacos', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/taco_', 'suffix': '.png'}, 'primary': True}]",0,[],,2180700,https://www.seamless.com/menu/los-tacos-no-1-tribeca-136-church-st-new-york/2180700?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=2180700,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,
14,e-0-515c4ca3e4b00279706b095d-14,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",515c4ca3e4b00279706b095d,The Hummus & Pita Co,79 Chambers St,40.714453031801185,-74.00685274843354,"[{'label': 'display', 'lat': 40.714453031801185, 'lng': -74.00685274843354}]",204,10007,US,,New York,NY,United States,"['79 Chambers St', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d10b941735', 'name': 'Falafel Restaurant', 'pluralName': 'Falafel Restaurants', 'shortName': 'Falafel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/falafel_', 'suffix': '.png'}, 'primary': True}]",0,[],,1168946,https://www.seamless.com/menu/hummus--pita-co-79-chambers-st-new-york/1168946?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1168946,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,73481466
15,e-0-4a9442e3f964a520f92020e3-15,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4a9442e3f964a520f92020e3,African Burial Ground National Monument,290 Broadway,40.71498975306652,-74.00552975826278,"[{'label': 'display', 'lat': 40.71498975306652, 'lng': -74.00552975826278}, {'label': 'entrance', 'lat': 40.715054, 'lng': -74.005385}]",255,10007,US,,New York,NY,United States,"['290 Broadway', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d12d941735', 'name': 'Monument / Landmark', 'pluralName': 'Monuments / Landmarks', 'shortName': 'Landmark', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_monument_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,
16,e-0-4b8dbba4f964a5201e0b33e3-16,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b8dbba4f964a5201e0b33e3,Church Street Boxing Gym,25 Park Pl,40.713353574017404,-74.00906676030888,"[{'label': 'display', 'lat': 40.713353574017404, 'lng': -74.00906676030888}]",266,10007,US,,New York,NY,United States,"['25 Park Pl (btwn Church St. & Broadway)', 'New York, NY 10007', 'United States']","[{'id': '52f2ab2ebcbc57f1066b8b47', 'name': 'Boxing Gym', 'pluralName': 'Boxing Gyms', 'shortName': 'Boxing Gym', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Church St. & Broadway,,,,,,,
17,e-0-534c9d7b498e1bdd443a40e1-17,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",534c9d7b498e1bdd443a40e1,Racines,94 Chambers St,40.714754151461236,-74.0075806002039,"[{'label': 'display', 'lat': 40.714754151461236, 'lng': -74.0075806002039}]",261,10007,US,,New York,NY,United States,"['94 Chambers St', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,
18,e-0-4be99814a9900f479a811540-18,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4be99814a9900f479a811540,Woolworth Building,233 Broadway,40.712559078189095,-74.00796435178208,"[{'label': 'display', 'lat': 40.712559078189095, 'lng': -74.00796435178208}, {'label': 'entrance', 'lat': 40.712555, 'lng': -74.008054}]",165,10279,US,,New York,NY,United States,"['233 Broadway (btwn Park Pl & Barclay St)', 'New York, NY 10279', 'United States']","[{'id': '4bf58dd8d48988d130941735', 'name': 'Building', 'pluralName': 'Buildings', 'shortName': 'Building', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Park Pl & Barclay St,,,,,,,125870300
19,e-0-4efbaa976da1f9b9d7c6355a-19,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4efbaa976da1f9b9d7c6355a,Financial District Wine and Liquor,"120 Nassau St, New York, NY 10038",40.710984465759886,-74.00693218119578,"[{'label': 'display', 'lat': 40.710984465759886, 'lng': -74.00693218119578}]",208,10038,US,,New York,NY,United States,"['120 Nassau St, New York, NY 10038', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d186941735', 'name': 'Liquor Store', 'pluralName': 'Liquor Stores', 'shortName': 'Liquor Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_liquor_', 'suffix': '.png'}, 'primary': True}]",0,[],,2415792,https://www.seamless.com/menu/financial-district-wine-and-liquor-120-nassau-st-new-york/2415792?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=2415792,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,
