,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.neighborhood,venue.venuePage.id
10,e-0-4b7c16dff964a5203f7c2fe3-10,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b7c16dff964a5203f7c2fe3,Sakashitamon Gate (坂下門),千代田1-1,,35.68270609521312,139.7564556704967,"[{'label': 'display', 'lat': 35.68270609521312, 'lng': 139.7564556704967}]",271,100-0001,JP,東京,東京都,日本,"['千代田1-1', '千代田区, 東京都', '100-0001', '日本']","[{'id': '4deefb944765f83613cdba6e', 'name': 'Historic Site', 'pluralName': 'Historic Sites', 'shortName': 'Historic Site', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/historicsite_', 'suffix': '.png'}, 'primary': True}]",0,[],,
11,e-0-4b76248cf964a520ac3f2ee3-11,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b76248cf964a520ac3f2ee3,Wadakuramon Gate (和田倉門跡),皇居外苑,,35.682825940126435,139.7614817888174,"[{'label': 'display', 'lat': 35.682825940126435, 'lng': 139.7614817888174}]",183,100-0002,JP,東京,東京都,日本,"['皇居外苑', '千代田区, 東京都', '100-0002', '日本']","[{'id': '4deefb944765f83613cdba6e', 'name': 'Historic Site', 'pluralName': 'Historic Sites', 'shortName': 'Historic Site', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/historicsite_', 'suffix': '.png'}, 'primary': True}]",0,[],,
12,e-0-4b566b11f964a520890f28e3-12,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b566b11f964a520890f28e3,Imperial Palace East Garden (皇居東御苑),千代田1-1,,35.68579697581925,139.75666165351868,"[{'label': 'display', 'lat': 35.68579697581925, 'lng': 139.75666165351868}]",415,100-0001,JP,東京,東京都,日本,"['千代田1-1', '千代田区, 東京都', '100-0001', '日本']","[{'id': '4bf58dd8d48988d163941735', 'name': 'Park', 'pluralName': 'Parks', 'shortName': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}, 'primary': True}]",0,[],,
13,e-0-4ba1ff8ef964a5209cd537e3-13,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ba1ff8ef964a5209cd537e3,Delfonics,丸の内1-5-1,新丸ビル 1F,35.68239795030291,139.76395785584342,"[{'label': 'display', 'lat': 35.68239795030291, 'lng': 139.76395785584342}]",410,100-6501,JP,千代田区,東京都,日本,"['丸の内1-5-1 (新丸ビル 1F)', '千代田区, 東京都', '100-6501', '日本']","[{'id': '4bf58dd8d48988d121951735', 'name': 'Paper / Office Supplies Store', 'pluralName': 'Paper / Office Supplies Stores', 'shortName': 'Office Supplies', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/papergoods_', 'suffix': '.png'}, 'primary': True}]",0,[],,
14,e-0-4bd574a94e32d13a20d0c080-14,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bd574a94e32d13a20d0c080,Barbacoa Classico,丸の内1-5-1,新丸ビル 6F,35.6824199,139.7640169,"[{'label': 'display', 'lat': 35.6824199, 'lng': 139.7640169}]",415,100-6506,JP,千代田区,東京都,日本,"['丸の内1-5-1 (新丸ビル 6F)', '千代田区, 東京都', '100-6506', '日本']","[{'id': '4bf58dd8d48988d16b941735', 'name': 'Brazilian Restaurant', 'pluralName': 'Brazilian Restaurants', 'shortName': 'Brazilian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}, 'primary': True}]",0,[],,
15,e-0-546ea940498e3f6064973275-15,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",546ea940498e3f6064973275,HEINZ BECK,丸の内1-1-3,日本生命丸の内ガーデンタワー 1F,35.68441139601372,139.7624176740646,"[{'label': 'display', 'lat': 35.68441139601372, 'lng': 139.7624176740646}]",320,,JP,東京,東京都,日本,"['丸の内1-1-3 (日本生命丸の内ガーデンタワー 1F)', '千代田区, 東京都', '日本']","[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",0,[],,
16,e-0-4fb4bc99e4b0e0f1457bce8a-16,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4fb4bc99e4b0e0f1457bce8a,Royal Bar (ロイヤルバー),丸の内1-1-1,パレスホテル東京 1F,35.684615339387,139.76128964687,"[{'label': 'display', 'lat': 35.684615339387, 'lng': 139.76128964687}]",258,,JP,東京,東京都,日本,"['丸の内1-1-1 (パレスホテル東京 1F)', '千代田区, 東京都', '日本']","[{'id': '4bf58dd8d48988d1d5941735', 'name': 'Hotel Bar', 'pluralName': 'Hotel Bars', 'shortName': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}, 'primary': True}]",0,[],,
17,e-0-54870711498ee5d2be0406e2-17,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",54870711498ee5d2be0406e2,Wolfgang's Steakhouse,丸の内2-1-1,丸の内 MY PLAZA B1F,35.67918500654332,139.76213368382767,"[{'label': 'display', 'lat': 35.67918500654332, 'lng': 139.76213368382767}]",473,100-0005,JP,中央区,東京都,日本,"['丸の内2-1-1 (丸の内 MY PLAZA B1F)', '中央区, 東京都', '100-0005', '日本']","[{'id': '4bf58dd8d48988d1cc941735', 'name': 'Steakhouse', 'pluralName': 'Steakhouses', 'shortName': 'Steakhouse', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}, 'primary': True}]",0,[],,
18,e-0-4b76269cf964a5203c402ee3-18,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b76269cf964a5203c402ee3,Otemon Gate (大手門),千代田1-1,皇居東御苑,35.68609,139.760138,"[{'label': 'display', 'lat': 35.68609, 'lng': 139.760138}]",367,100-0001,JP,東京,東京都,日本,"['千代田1-1 (皇居東御苑)', '千代田区, 東京都', '100-0001', '日本']","[{'id': '4deefb944765f83613cdba6e', 'name': 'Historic Site', 'pluralName': 'Historic Sites', 'shortName': 'Historic Site', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/historicsite_', 'suffix': '.png'}, 'primary': True}]",0,[],,
19,e-0-4b9d99d6f964a520dab536e3-19,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b9d99d6f964a520dab536e3,Monna Lisa (モナリザ),丸の内2-4-1,丸ビル 36F,35.681189584848525,139.76371049880981,"[{'label': 'display', 'lat': 35.681189584848525, 'lng': 139.76371049880981}]",426,100-6336,JP,千代田区,東京都,日本,"['丸の内2-4-1 (丸ビル 36F)', '千代田区, 東京都', '100-6336', '日本']","[{'id': '4bf58dd8d48988d10c941735', 'name': 'French Restaurant', 'pluralName': 'French Restaurants', 'shortName': 'French', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}, 'primary': True}]",0,[],,
